basket,species,biomass
58,s_1,22.85663491239845
58,s_2,11.09019836247982
58,s_3,40.084689732646986
58,s_4,50.50600778675152
58,s_5,45.583159352527915
59,s_1,24.51229490260648
59,s_2,28.896967256068407
59,s_3,61.93008722798219
59,s_4,40.25518330089741
59,s_5,44.642092383052976
60,s_1,24.51229490280334
60,s_2,28.896967256231022
60,s_3,61.9300872279213
60,s_4,40.25518330035806
60,s_5,44.64209238346669
61,s_1,24.512294902803383
61,s_2,28.896967256231125
61,s_3,61.930087227920765
61,s_4,40.25518330035575
61,s_5,44.64209238346733
62,s_1,24.512294902803383
62,s_2,28.896967256231125
62,s_3,61.930087227920765
62,s_4,40.25518330035575
62,s_5,44.64209238346733
63,s_1,26.265137120445292
63,s_2,36.035307876058695
63,s_3,37.782278542899405
63,s_4,43.020163609394295
63,s_5,45.05759048098655
64,s_1,26.265137120445292
64,s_2,36.035307876058695
64,s_3,37.782278542899405
64,s_4,43.020163609394295
64,s_5,45.05759048098655
65,s_1,22.856634912398594
65,s_2,11.090198362479489
65,s_3,40.084689732644826
65,s_4,50.50600778675027
65,s_5,45.58315935252888
66,s_1,26.37793893897451
66,s_2,36.060055748027345
66,s_3,37.47580711574282
66,s_4,44.29998268280506
66,s_5,45.164276939270266
67,s_1,24.33895996926934
67,s_2,36.174601526083386
67,s_3,37.310505418078975
67,s_4,44.12970355260504
67,s_5,45.56853269580621
68,s_1,23.303734818092707
68,s_2,16.333210934816687
68,s_3,44.73928433833866
68,s_4,47.7294619091683
68,s_5,44.618045687010465
69,s_1,28.511082730204496
69,s_2,36.045794460831694
69,s_3,37.44010032860817
69,s_4,43.03500065907885
69,s_5,46.994258435638876
70,s_1,35.85368273575156
70,s_2,32.96774996875091
70,s_3,32.86833450114888
70,s_4,37.43610932635733
70,s_5,40.79374877057122
71,s_1,22.62877459631968
71,s_2,31.39067188510011
71,s_3,25.052714664282696
71,s_4,75.99988098029041
71,s_5,37.23915018225627
72,s_1,22.856634912398594
72,s_2,11.090198362479489
72,s_3,40.084689732644826
72,s_4,50.50600778675027
72,s_5,45.58315935252888
73,s_1,26.37793893897451
73,s_2,36.060055748027345
73,s_3,37.47580711574282
73,s_4,44.29998268280506
73,s_5,45.164276939270266
74,s_1,23.303734818092707
74,s_2,16.333210934816687
74,s_3,44.73928433833866
74,s_4,47.7294619091683
74,s_5,44.618045687010465
75,s_1,28.511082730204496
75,s_2,36.045794460831694
75,s_3,37.44010032860817
75,s_4,43.03500065907885
75,s_5,46.994258435638876
76,s_1,22.62877459631968
76,s_2,31.39067188510011
76,s_3,25.052714664282696
76,s_4,75.99988098029041
76,s_5,37.23915018225627
77,s_1,35.85368273575156
77,s_2,32.96774996875091
77,s_3,32.86833450114888
77,s_4,37.43610932635733
77,s_5,40.79374877057122
78,s_1,24.33895996926934
78,s_2,36.174601526083386
78,s_3,37.310505418078975
78,s_4,44.12970355260504
78,s_5,45.56853269580621
79,s_1,30.35520070042245
79,s_2,36.25427113122037
79,s_3,37.097742578034236
79,s_4,42.82159845993306
79,s_5,44.44044912723413
80,s_1,30.35520070042245
80,s_2,36.25427113122037
80,s_3,37.097742578034236
80,s_4,42.82159845993306
80,s_5,44.44044912723413
81,s_1,30.355200700422106
81,s_2,36.254271131223405
81,s_3,37.09774257803258
81,s_4,42.82159845992987
81,s_5,44.44044912723375
82,s_1,30.355200700420472
82,s_2,36.2542711312222
82,s_3,37.09774257803529
82,s_4,42.82159845992742
82,s_5,44.44044912723183
83,s_1,30.355200700422106
83,s_2,36.254271131223405
83,s_3,37.09774257803258
83,s_4,42.82159845992987
83,s_5,44.44044912723375
84,s_1,30.355200700420472
84,s_2,36.2542711312222
84,s_3,37.09774257803529
84,s_4,42.82159845992742
84,s_5,44.44044912723183
85,s_1,24.33895996926934
85,s_2,36.174601526083386
85,s_3,37.310505418078975
85,s_4,44.12970355260504
85,s_5,45.56853269580621
86,s_1,26.377938938976534
86,s_2,36.06005574802853
86,s_3,37.47580711574778
86,s_4,44.29998268280709
86,s_5,45.164276939272085
87,s_1,22.856634912398594
87,s_2,11.090198362479489
87,s_3,40.084689732644826
87,s_4,50.50600778675027
87,s_5,45.58315935252888
88,s_1,35.85368273575163
88,s_2,32.96774996872839
88,s_3,32.8683345010508
88,s_4,37.436109326623004
88,s_5,40.793748770431655
89,s_1,28.511082730203675
89,s_2,36.045794460828965
89,s_3,37.44010032860615
89,s_4,43.03500065907649
89,s_5,46.99425843563898
90,s_1,23.303734818138945
90,s_2,16.333210934802107
90,s_3,44.739284338093924
90,s_4,47.72946190922338
90,s_5,44.61804568712097
91,s_1,22.628774596319598
91,s_2,31.39067188509817
91,s_3,25.05271466428335
91,s_4,75.99988098029024
91,s_5,37.239150182256395
92,s_1,26.265137120445292
92,s_2,36.035307876058695
92,s_3,37.782278542899405
92,s_4,43.020163609394295
92,s_5,45.05759048098655
93,s_1,26.26513712044403
93,s_2,36.03530787606075
93,s_3,37.78227854290199
93,s_4,43.02016360938753
93,s_5,45.05759048098488
94,s_1,24.51229490260648
94,s_2,28.896967256068407
94,s_3,61.93008722798219
94,s_4,40.25518330089741
94,s_5,44.642092383052976
95,s_1,24.51229490280334
95,s_2,28.896967256231022
95,s_3,61.9300872279213
95,s_4,40.25518330035806
95,s_5,44.64209238346669
96,s_1,22.628774596319523
96,s_2,31.39067188509913
96,s_3,25.05271466429077
96,s_4,75.99988098029141
96,s_5,37.23915018225403
97,s_1,28.511082730204496
97,s_2,36.045794460831694
