"profit_per_t.t_1","profit_per_t.t_2","profit_per_t.t_3","profit_per_t.t_4","profit_per_t.t_5","run","tots"
102.643780685124,102.643780685115,-3.51192481253827e-15,-1.32477542704738e-12,-1.62012751838958e-11,"1,1,1,1,40",205.287561370221
102.284841658491,102.284841658524,-6.99965987115902e-15,-1.14723265182005e-11,-3.21200935084234e-12,"1,1,1,1,40",204.569683317
101.952992387397,101.952992387388,-3.48864788009541e-15,-9.86193663393784e-16,-1.27941360620857e-11,"1,1,1,1,40",203.905984774772
101.646029476463,101.64602947644,-9.70567208458835e-14,1.14107477201166e-11,-1.27163518032405e-11,"1,1,1,1,40",203.292058952902
327.935658477796,327.935658477957,8.3968282828585,0,-3.33679969809433e-14,"1,10,20,30,40",664.268145238611
317.329395886786,317.32939588709,8.12499357088906,0,6.3344119594315e-12,"1,10,20,30,40",642.783785344771
308.090935614157,308.090935614631,7.88827189356288,0,1.52109325646499e-12,"1,10,20,30,40",624.070143122352
299.988213464195,299.988213464104,7.68069217920563,0,-4.50228626384185e-12,"1,10,20,30,40",607.6571191075
292.838943165306,292.838943165549,7.49756665044266,0,1.44459032041992e-12,"1,10,20,30,40",593.175452981299
286.497824674829,286.497824675257,7.33516157289936,0,-1.44188794103664e-12,"1,10,20,30,40",580.330810922984
280.847532808772,280.847532808432,7.19046324769073,0,0,"1,10,20,30,40",568.885528864895
275.792235474516,275.792235474368,7.06101135472943,0,-1.3871304339628e-12,"1,10,20,30,40",558.645482303612
271.252846576444,271.252846576598,6.94477671546169,0,-1.33640200772789e-12,"1,10,20,30,40",549.450469868502
267.16349319608,267.163493196004,6.84006879021874,0,-1.31591134383424e-12,"1,10,20,30,40",541.167055182302
263.468845427189,263.46884542728,6.74546894969373,0,-1.3508196917879e-12,"1,10,20,30,40",533.683159804161
260.122074189368,260.122074189631,6.65977690351926,0,1.30699183836702e-12,"1,10,20,30,40",526.903925282519
257.083269287504,257.083269287466,6.58196944344848,0,3.84829211460656e-12,"1,10,20,30,40",520.748508018422
254.31820003739,254.318200037594,6.51116920228404,0,2.57666941957234e-14,"1,10,20,30,40",515.147569277268
251.7973350604,251.797335060562,6.44661978611902,0,1.2388965058886e-12,"1,10,20,30,40",510.041289907082
249.495059975239,249.495059974997,6.38766559044653,0,-1.25261959829485e-12,"1,10,20,30,40",505.377785540681
247.389048208004,247.389048208002,6.33373434353806,0,0,"1,10,20,30,40",501.111830759544
245.459748896797,245.459748896945,6.28432562277033,0,-1.18225397772938e-12,"1,10,20,30,40",497.203823416511
243.689969467241,243.689969466893,6.23899928907249,0,-1.24756110159656e-12,"1,10,20,30,40",493.618938223205
242.064531627515,242.064531627556,6.19736669217123,0,1.21456264166029e-12,"1,10,20,30,40",490.326429947243
240.569986074124,240.569986074104,6.15908394741004,0,2.38945592138921e-12,"1,10,20,30,40",487.29905609564
239.194375646157,239.194375646117,6.12384465773499,0,-2.3754893133928e-12,"1,10,20,30,40",484.512595950007
237.927035581325,237.927035581292,6.09137601749007,0,0,"1,10,20,30,40",481.945447180107
236.758425959613,236.75842595968,6.06143417704305,0,1.18734700696679e-12,"1,10,20,30,40",479.578286096337
235.679989994783,235.679989994473,6.03379996175967,0,-2.38403448311735e-14,"1,10,20,30,40",477.393779951016
234.684032664283,234.684032664478,6.0082766310022,0,-2.37371338437192e-14,"1,10,20,30,40",475.376341959763
233.76361760935,233.763617609404,5.98468681377786,0,1.12467918823023e-12,"1,10,20,30,40",473.511922032533
232.912478560491,232.91247856037,5.96286998434486,0,-1.19113940273032e-12,"1,10,20,30,40",471.787827105205
232.12494252841,232.124942528229,5.94268111912082,0,1.14006270233635e-12,"1,10,20,30,40",470.192566175761
231.395863783205,231.395863783499,5.92398874007477,0,-1.15978160313182e-12,"1,10,20,30,40",468.715716306778
